AcceptedTaxonID	DistributionElement	StandardInUse
1199236	IND	TDWG Level 3 code
1199236	JAW	TDWG Level 3 code
1199236	Jawa, Philippines, India	text
1199236	PHI	TDWG Level 3 code
1199237	IND	TDWG Level 3 code
1199237	India, Sumatra	text
1199237	SUM	TDWG Level 3 code
1199238	Sri Lanka	text
1199238	SRL	TDWG Level 3 code
1199239	42    	TDWG Level 2 code
1199239	Peninsular Malaysia	text
1199241	IND	TDWG Level 3 code
1199241	SUM	TDWG Level 3 code
1199241	Sumatra, India	text
1199242	42    	TDWG Level 2 code
1199242	MLY-PM	TDWG Level 4 code
1199242	Peninsular Malaysia	text
1199243	IND	TDWG Level 3 code
1199243	India	text
1199244	MLY-PM	TDWG Level 4 code
1199244	Peninsular Malaysia, Singapore	text
1199245	IND	TDWG Level 3 code
1199245	SUM	TDWG Level 3 code
1199245	Sumatra, India	text
1199246	Sri Lanka	text
1199246	SRL	TDWG Level 3 code
1199247	IND	TDWG Level 3 code
1199247	PHI	TDWG Level 3 code
1199247	Philippines, Sumatra, India	text
1199247	SUM	TDWG Level 3 code
1199248	SUM	TDWG Level 3 code
1199248	Sumatra	text
1199249	IND	TDWG Level 3 code
1199249	India	text
1199250	AND	TDWG Level 3 code
1199250	Sri Lanka	text
1199250	SRL	TDWG Level 3 code
1199250	SUM	TDWG Level 3 code
1199251	MLY-SI	TDWG Level 4 code
1199251	Singapore	text
1199252	CHH	TDWG Level 3 code
1199252	China: Hainan	text
1199253	China: Guangxi	text
1199253	CHS-GX	TDWG Level 4 code
1199255	Borneo	text
1199255	BOR-SB	TDWG Level 4 code
1199259	Indonesia (Kalimantan, Java and Sumatra), Malaysia, Thailand, Vietnam, and north India	text
1199259	JAW	TDWG Level 3 code
1199261	SUM	TDWG Level 3 code
1199261	Sumatera	text
1199263	SUM	TDWG Level 3 code
1199263	Sumatera	text
1199264	SUM	TDWG Level 3 code
1199264	Sumatera	text
1199268	MLY-PM	TDWG Level 4 code
1199268	Peninsular Malaysia	text
1199269	BOR-BR	TDWG Level 4 code
1199269	Borneo	text
1199269	BOR-SB	TDWG Level 4 code
1199270	BOR-KA	TDWG Level 4 code
1199270	Borneo	text
1199271	SUM	TDWG Level 3 code
1199271	Sumatera	text
1199272	BOR-KA	TDWG Level 4 code
1199272	Borneo	text
1199272	BOR-SR	TDWG Level 4 code
1199273	BOR-KA	TDWG Level 4 code
1199273	Borneo	text
1199277	Borneo	text
1199277	BOR-SB	TDWG Level 4 code
1199278	Borneo	text
1199278	BOR-SR	TDWG Level 4 code
1199279	IND	TDWG Level 3 code
1199279	India	text
1199280	Borneo	text
1199280	BOR-SB	TDWG Level 4 code
1199281	BOR-BR	TDWG Level 4 code
1199281	Borneo	text
1199281	BOR-SB	TDWG Level 4 code
1199282	Borneo	text
1199282	BOR-SR	TDWG Level 4 code
1199283	Borneo	text
1199283	BOR-SB	TDWG Level 4 code
1199284	BOR-BR	TDWG Level 4 code
1199284	Borneo	text
1199285	PHI	TDWG Level 3 code
1199285	Philippines	text
1199287	BOR-BR	TDWG Level 4 code
1199287	Borneo	text
1199288	BOR-BR	TDWG Level 4 code
1199288	BOR-KA	TDWG Level 4 code
1199288	Borneo	text
1199288	BOR-SB	TDWG Level 4 code
1199289	BOR-KA	TDWG Level 4 code
1199289	Borneo	text
1199290	BOR-KA	TDWG Level 4 code
1199290	Borneo	text
1199291	BOR-KA	TDWG Level 4 code
1199291	Borneo	text
1199292	BOR-KA	TDWG Level 4 code
1199292	Borneo	text
1199293	BOR-KA	TDWG Level 4 code
1199293	Borneo	text
1199294	Borneo	text
1199294	BOR-SR	TDWG Level 4 code
1199295	BOR-KA	TDWG Level 4 code
1199295	Borneo	text
1199297	China: Zizang (Tibet)	text
1199297	CHT	TDWG Level 3 code
1199300	SUM	TDWG Level 3 code
1199300	Sumatera	text
1199301	MLY	TDWG Level 3 code
1199301	Peninsular Malaysia	text
1199303	SUM	TDWG Level 3 code
1199303	Sumatera	text
1199306	BOR-KA	TDWG Level 4 code
1199306	BOR-SB	TDWG Level 4 code
1199306	Kalimantan & Sabah	text
1199307	BOR-KA	TDWG Level 4 code
1199307	BOR-SB	TDWG Level 4 code
1199307	BOR-SR	TDWG Level 4 code
1199307	Kalimantan, Sabah, Sarawak	text
1199308	Sri Lanka	text
1199308	SRL	TDWG Level 3 code
1199309	JAW	TDWG Level 3 code
1199309	Jawa	text
1199310	BOR-KA	TDWG Level 4 code
1199310	Borneo, Peninsular Malaysia, Singapore [extinct], Sumatra	text
1199311	JAW	TDWG Level 3 code
1199311	Jawa	text
1199312	BOR	TDWG Level 3 code
1199312	Borneo	text
1199313	BOR	TDWG Level 3 code
1199313	Borneo, Peninsular Malaysia, Singapore, Sumatra	text
1199313	IND	TDWG Level 3 code
1199313	JAW	TDWG Level 3 code
1199313	MLY-SI	TDWG Level 4 code
1199313	SUM	TDWG Level 3 code
1199315	BOR-KA	TDWG Level 4 code
1199315	Borneo	text
1199315	BOR-SB	TDWG Level 4 code
1199316	JAW	TDWG Level 3 code
1199316	Jawa	text
1199319	Borneo	text
1199319	BOR-SR	TDWG Level 4 code
1199322	JAW	TDWG Level 3 code
1199322	Jawa	text
1199324	SUM	TDWG Level 3 code
1199324	Sumatera	text
1199325	JAW	TDWG Level 3 code
1199325	Jawa	text
1199326	Borneo	text
1199326	BOR-SR	TDWG Level 4 code
1199327	IND	TDWG Level 3 code
1199327	India	text
1199329	MLY-PM	TDWG Level 4 code
1199329	Peninsular Malaysia	text
1199330	BOR-KA	TDWG Level 4 code
1199330	Borneo	text
1199331	Borneo	text
1199331	BOR-SB	TDWG Level 4 code
1199332	BOR-KA	TDWG Level 4 code
1199332	Borneo	text
1199333	BOR-KA	TDWG Level 4 code
1199333	Borneo	text
1199334	Borneo	text
1199334	BOR-SB	TDWG Level 4 code
1199336	Borneo	text
1199336	BOR-SR	TDWG Level 4 code
1199337	Borneo	text
1199337	BOR-SR	TDWG Level 4 code
1199338	Borneo	text
1199338	BOR-SB	TDWG Level 4 code
1199340	PHI	TDWG Level 3 code
1199340	Philippines	text
1199341	BOR-SB	TDWG Level 4 code
1199341	JAW	TDWG Level 3 code
1199341	Jawa	text
1199342	IND	TDWG Level 3 code
1199342	India	text
1199342	MLY-PM	TDWG Level 4 code
1199347	SUL	TDWG Level 3 code
1199347	Sulawesi	text
1199348	Malesia, Sumatera	text
1199348	MOL	TDWG Level 3 code
1199348	PHI	TDWG Level 3 code
1199348	SUM	TDWG Level 3 code
1199349	BOR	TDWG Level 3 code
1199349	Borneo	text
1199350	Borneo	text
1199350	BOR-SB	TDWG Level 4 code
1199350	BOR-SR	TDWG Level 4 code
1199351	BOR	TDWG Level 3 code
1199351	Borneo	text
1199352	BOR	TDWG Level 3 code
1199352	Borneo	text
1199354	Borneo	text
1199354	BOR-SR	TDWG Level 4 code
1199355	BOR-KA	TDWG Level 4 code
1199355	Borneo	text
1199355	BOR-SR	TDWG Level 4 code
1199356	BOR-BR	TDWG Level 4 code
1199356	Borneo	text
1199356	BOR-SB	TDWG Level 4 code
1199356	BOR-SR	TDWG Level 4 code
1199358	PHI	TDWG Level 3 code
1199358	Philippines	text
1199362	Borneo	text
1199362	BOR-SB	TDWG Level 4 code
1199363	Borneo	text
1199363	BOR-SR	TDWG Level 4 code
1199364	BOR	TDWG Level 3 code
1199364	Borneo	text
1199365	VIE	TDWG Level 3 code
1199365	Vietnam; Hong Kong	text
1199366	MYA	TDWG Level 3 code
1199366	Myanmar	text
1199367	Borneo, Vietnam, Hong Kong, Myanmar	text
1199367	BOR-SR	TDWG Level 4 code
1199368	BOR-BR	TDWG Level 4 code
1199368	Borneo	text
1199368	BOR-SR	TDWG Level 4 code
1199375	Madagascar	text
1199375	MDG	TDWG Level 3 code
1199376	Madagascar	text
1199376	MDG	TDWG Level 3 code
1199378	Madagascar	text
1199378	MDG	TDWG Level 3 code
1199380	Madagascar	text
1199380	MDG	TDWG Level 3 code
1199381	Madagascar	text
1199381	MDG	TDWG Level 3 code
1199383	Madagascar	text
1199383	MDG	TDWG Level 3 code
1199388	BOR	TDWG Level 3 code
1199388	Borneo, Peninsular Malaysia, Sumatra	text
1199388	MLY-PM	TDWG Level 4 code
1199388	SUM	TDWG Level 3 code
1199390	BOR-KA	TDWG Level 4 code
1199390	Borneo	text
1199390	BOR-SB	TDWG Level 4 code
1199392	THA	TDWG Level 3 code
1199392	Thailand	text
1199393	PHI	TDWG Level 3 code
1199393	Philippines, Mindanao Island	text
1199394	IND	TDWG Level 3 code
1199394	India?, Borneo [type from 'India' incorrectly labelled?]	text
1199395	BOR-KA	TDWG Level 4 code
1199395	Borneo	text
1199396	PHI	TDWG Level 3 code
1199396	Philippines, Mindanao Island	text
1199400	84    	TDWG Level 2 code
1199400	Brazil	text
1199401	84    	TDWG Level 2 code
1199401	Brazil	text
1199402	PAN	TDWG Level 3 code
1199402	Panamá	text
1199403	PER	TDWG Level 3 code
1199403	Peru	text
1199404	84    	TDWG Level 2 code
1199404	BOL	TDWG Level 3 code
1199404	Brazil	text
1199405	84    	TDWG Level 2 code
1199405	Brazil	text
1199406	84    	TDWG Level 2 code
1199406	Brazil	text
1199407	84    	TDWG Level 2 code
1199407	Brazil	text
1199408	CLM	TDWG Level 3 code
1199408	Colombia, Panama	text
1199409	84    	TDWG Level 2 code
1199409	Brazil	text
1199410	PAN	TDWG Level 3 code
1199410	Panamá, Colombia	text
1199411	CLM	TDWG Level 3 code
1199411	Colombia [not Bolivia]	text
1199413	CLM	TDWG Level 3 code
1199413	Colombia	text
1199415	84    	TDWG Level 2 code
1199415	Brazil	text
1199417	84    	TDWG Level 2 code
1199417	Brazil	text
1199418	84    	TDWG Level 2 code
1199418	Brazil	text
1199419	84    	TDWG Level 2 code
1199419	Brazil	text
1199421	84    	TDWG Level 2 code
1199421	Brazil	text
1199423	COS	TDWG Level 3 code
1199423	Costa Rica	text
1199424	79    	TDWG Level 2 code
1199424	Central America	text
1199424	PAN	TDWG Level 3 code
1199426	COS	TDWG Level 3 code
1199426	Costa Rica	text
1199427	BOL	TDWG Level 3 code
1199427	Bolivia	text
1199429	JAW	TDWG Level 3 code
1199429	Jawa, NE: Samarang [probably from Brazil]	text
